Text Name,Title,King,Era,Place Name,Name of Poem/Prose
"""Khamsa of Nizami""","""Shírín mourning the death of Farhád""",Akbar,"""1590s""","""Awadh""","""Khosrow o Shirin"""
"""Khamsa of Nizami""","""Khusrau watching Shirin""",Akbar,"""1590s""","""Awadh""","""Khosrow o Shirin"""
"""Khamsa of Nizami""","""Farhad and Khusrau""",Akbar,"""1590s""","""India""","""Khosrow o Shirin"""
"""Khamsa of Nizami""","""Ascetics presenting fish to Iskandar""",Akbar,"""1590s""","""India""","""Iskandarnameh"""
"""Khamsa of Amir Khusraw Dihlavi""","""Bahram Gur hunting with Dilaram""",,,,"""Hasht-Bihisht"""
"""Khamsa of Amir Khusraw Dihlavi""","""Bahram Gur hunting with Dilaram""",,,,
"""Kalpasutra""","""An illumination from the Kalpasutra""",,,,
