"path","value"
"meta/version","2.0"
"meta/images/_primary_thumbnail","https://framemark.vam.ac.uk/collections/2013GD6294/full/!100,100/0/default.jpg"
"meta/images/_iiif_image","https://framemark.vam.ac.uk/collections/2013GD6294/"
"meta/images/imageResolution","high"
"meta/images/_images_meta/0/assetRef","2013GD6294"
"meta/images/_images_meta/0/copyright","© Victoria and Albert Museum, London"
"meta/images/_images_meta/0/sensitiveImage","false"
"meta/images/_images_meta/1/assetRef","2006AN6239"
"meta/images/_images_meta/1/copyright","© Victoria and Albert Museum, London"
"meta/images/_images_meta/1/sensitiveImage","false"
"meta/see_also/_iiif_pres","https://iiif.vam.ac.uk/collections/O432852/manifest.json"
"record/systemNumber","O432852"
"record/accessionNumber","IS.1-1970"
"record/objectType","Painting"
"record/summaryDescription",""
"record/physicalDescription","Painting, in opaque watercolour on paper, five priests in a courtyard performing the Vedic fire ritual (<i>homa</i>) as part of the <i>Raja-suya</i> sacrifice of Yudhisthira at his capital Indra-prastha. One of the Pandavas stands before the sacrificial fire and his attendants stand before the priests. Illustration from the <i>Sabha parva</i> of the<i> Mahabharata</i>."
"record/artistMakerPerson/0/name/text","Unknown"
"record/artistMakerPerson/0/name/id","A1848"
"record/artistMakerPerson/0/association/text",""
"record/artistMakerPerson/0/association/id",""
"record/artistMakerPerson/0/note",""
"record/materials/0/text","opaque watercolour"
"record/materials/0/id","x35013"
"record/materials/1/text","paint"
"record/materials/1/id","AAT15029"
"record/materials/2/text","paper"
"record/materials/2/id","AAT14109"
"record/techniques/0/text","painted"
"record/techniques/0/id","AAT54216"
"record/materialsAndTechniques","Painted in opaque watercolour on paper"
"record/categories/0/text","Paintings"
"record/categories/0/id","THES48917"
"record/categories/1/text","Religion"
"record/categories/1/id","THES48900"
"record/categories/2/text","Hinduism"
"record/categories/2/id","THES48941"
"record/categories/3/text","Bonita Trust Indian Paintings Cataloguing Project"
"record/categories/3/id","THES263148"
"record/styles/0/text","Bilaspur"
"record/styles/0/id","AAT19001"
"record/collectionCode/text","SSEA"
"record/collectionCode/id","THES48598"
"record/images/0","2013GD6294"
"record/images/1","2006AN6239"
"record/imageResolution","high"
"record/galleryLocations/0/current/text","SRP"
"record/galleryLocations/0/current/id","THES49620"
"record/galleryLocations/0/free",""
"record/galleryLocations/0/case",""
"record/galleryLocations/0/shelf",""
"record/galleryLocations/0/box","138A"
"record/partTypes/0/0/text","painting"
"record/partTypes/0/0/id","AAT33618"
"record/contentWarnings/0/apprise",""
"record/contentWarnings/0/note",""
"record/contentWarnings/1/apprise",""
"record/contentWarnings/1/note",""
"record/placesOfOrigin/0/place/text","Bilaspur"
"record/placesOfOrigin/0/place/id","THES258629"
"record/placesOfOrigin/0/association/text","made"
"record/placesOfOrigin/0/association/id","x28654"
"record/placesOfOrigin/0/note",""
"record/productionDates/0/date/text","ca. 1670 - ca. 1680"
"record/productionDates/0/date/earliest","1665-01-01"
"record/productionDates/0/date/latest","1684-12-31"
"record/productionDates/0/association/text","made"
"record/productionDates/0/association/id","x28654"
"record/productionDates/0/note",""
"record/creditLine",""
"record/dimensions/0/dimension","Height"
"record/dimensions/0/value","227"
"record/dimensions/0/unit","mm"
"record/dimensions/0/qualifier","maximum"
"record/dimensions/0/date/text","24/07/2013"
"record/dimensions/0/date/earliest","2013-07-24"
"record/dimensions/0/date/latest","2013-07-24"
"record/dimensions/0/part",""
"record/dimensions/0/note",""
"record/dimensions/1/dimension","Width"
"record/dimensions/1/value","305"
"record/dimensions/1/unit","mm"
"record/dimensions/1/qualifier","maximum"
"record/dimensions/1/date/text","24/07/2013"
"record/dimensions/1/date/earliest","2013-07-24"
"record/dimensions/1/date/latest","2013-07-24"
"record/dimensions/1/part",""
"record/dimensions/1/note",""
"record/dimensionsNote","24/07/2013 dimensions measured as part of Indian Paintings Cataloguing Project 2013"
"record/marksAndInscriptions/0/content",""
"record/marksAndInscriptions/0/inscriber/name/text",""
"record/marksAndInscriptions/0/inscriber/name/id",""
"record/marksAndInscriptions/0/inscriber/association/text",""
"record/marksAndInscriptions/0/inscriber/association/id",""
"record/marksAndInscriptions/0/date/text",""
"record/marksAndInscriptions/0/date/earliest","<nil>"
"record/marksAndInscriptions/0/date/latest","<nil>"
"record/marksAndInscriptions/0/description",""
"record/marksAndInscriptions/0/interpretation",""
"record/marksAndInscriptions/0/language",""
"record/marksAndInscriptions/0/medium",""
"record/marksAndInscriptions/0/method",""
"record/marksAndInscriptions/0/position",""
"record/marksAndInscriptions/0/script",""
"record/marksAndInscriptions/0/translation",""
"record/marksAndInscriptions/0/transliteration","'makiya'"
"record/marksAndInscriptions/0/type",""
"record/marksAndInscriptions/0/note","inscribed in Takri on picture"
"record/marksAndInscriptions/1/content",""
"record/marksAndInscriptions/1/inscriber/name/text",""
"record/marksAndInscriptions/1/inscriber/name/id",""
"record/marksAndInscriptions/1/inscriber/association/text",""
"record/marksAndInscriptions/1/inscriber/association/id",""
"record/marksAndInscriptions/1/date/text",""
"record/marksAndInscriptions/1/date/earliest","<nil>"
"record/marksAndInscriptions/1/date/latest","<nil>"
"record/marksAndInscriptions/1/description",""
"record/marksAndInscriptions/1/interpretation",""
"record/marksAndInscriptions/1/language",""
"record/marksAndInscriptions/1/medium",""
"record/marksAndInscriptions/1/method",""
"record/marksAndInscriptions/1/position",""
"record/marksAndInscriptions/1/script",""
"record/marksAndInscriptions/1/translation",""
"record/marksAndInscriptions/1/transliteration",""
"record/marksAndInscriptions/1/type",""
"record/marksAndInscriptions/1/note","The paper flap bears a stamped cartouche containing the number 3942 in Hindi numerals. "
"record/objectHistory","The paper flap bears a stamped cartouche containing the number 3942 in Hindi numerals. This cartouche also appears on pictures in the N. C. Mehta collection in Ahmedabad, but is said to be the Mandi state darbar stamp. In style, these pictures derive from the so-called 'popular Mughal style' of the early 17th century and have affinities with the work of the Ajmer (Sawar) school of ca. 1700. Others from the set are reproduced in the Sotheby catalogue for December 17th, 1969 (Lots 165 to 175). "
"record/historicalContext",""
"record/briefDescription","Painting, Raja consults priests, opaque watercolour on paper, Bilaspur, ca. 1670-1680"
"record/bibliographicReferences/0/reference/text","Indian paintings from the Punjab Hills : a survey and history of Pahari miniature painting / by W. G. Archer ; foreword by Sherman E. Lee. London :Delhi: Sotheby Parke Bernet ;Oxford University Press, 1973 Number: 0856670022"
"record/bibliographicReferences/0/reference/id","AUTH338527"
"record/bibliographicReferences/0/details","p. 230, cat. no. 5 ii."
"record/bibliographicReferences/0/free",""
"record/production",""
"record/productionType/text",""
"record/productionType/id",""
"record/contentDescription","Five priests in a courtyard performing the Vedic fire ritual (<i>homa</i>) as part of the <i>Raja-suya</i> sacrifice of Yudhisthira at his capital Indra-prastha. "
"record/contentOthers/0/text","priests"
"record/contentOthers/0/id","AAT25774"
"record/contentOthers/1/text","courtyard"
"record/contentOthers/1/id","AAT4095"
"record/contentOthers/2/text","fire"
"record/contentOthers/2/id","AAT68986"
"record/contentOthers/3/text","ritual"
