"path","value"
"meta/version","2.0"
"meta/images/_primary_thumbnail","https://framemark.vam.ac.uk/collections/2013GB1359/full/!100,100/0/default.jpg"
"meta/images/_iiif_image","https://framemark.vam.ac.uk/collections/2013GB1359/"
"meta/images/imageResolution","high"
"meta/images/_images_meta/0/assetRef","2013GB1359"
"meta/images/_images_meta/0/copyright","© Victoria and Albert Museum, London"
"meta/images/_images_meta/0/sensitiveImage","false"
"meta/see_also/_iiif_pres","https://iiif.vam.ac.uk/collections/O433545/manifest.json"
"record/systemNumber","O433545"
"record/accessionNumber","IS.527-1952"
"record/objectType","Drawing"
"record/summaryDescription",""
"record/physicalDescription","Brush drawing in ink on paper, depicting a gathering of nobles with inserted scene from the <i>Mahabharata </i>- shooting the fish."
"record/artistMakerPerson/0/name/text","Unknown"
"record/artistMakerPerson/0/name/id","A1848"
"record/artistMakerPerson/0/association/text",""
"record/artistMakerPerson/0/association/id",""
"record/artistMakerPerson/0/note",""
"record/materials/0/text","paper"
"record/materials/0/id","AAT14109"
"record/materials/1/text","ink"
"record/materials/1/id","AAT15012"
"record/techniques/0/text","drawn"
"record/techniques/0/id","x30545"
"record/techniques/1/text","painted"
"record/techniques/1/id","AAT54216"
"record/materialsAndTechniques","Drawn with a brush in ink on paper"
"record/categories/0/text","Hinduism"
"record/categories/0/id","THES48941"
"record/categories/1/text","Drawings"
"record/categories/1/id","THES48966"
"record/categories/2/text","Paintings"
"record/categories/2/id","THES48917"
"record/categories/3/text","Religion"
"record/categories/3/id","THES48900"
"record/categories/4/text","Bonita Trust Indian Paintings Cataloguing Project"
"record/categories/4/id","THES263148"
"record/collectionCode/text","SSEA"
"record/collectionCode/id","THES48598"
"record/images/0","2013GB1359"
"record/imageResolution","high"
"record/galleryLocations/0/current/text","SRP (VA)"
"record/galleryLocations/0/current/id","THES49620"
"record/galleryLocations/0/free",""
"record/galleryLocations/0/case",""
"record/galleryLocations/0/shelf",""
"record/galleryLocations/0/box","83F"
"record/partTypes/0/0/text","drawing"
"record/partTypes/0/0/id","AAT33973"
"record/contentWarnings/0/apprise",""
"record/contentWarnings/0/note",""
"record/placesOfOrigin/0/place/text","Jaipur"
"record/placesOfOrigin/0/place/id","x30863"
"record/placesOfOrigin/0/association/text","made"
"record/placesOfOrigin/0/association/id","x28654"
"record/placesOfOrigin/0/note",""
"record/productionDates/0/date/text","ca. 1800"
"record/productionDates/0/date/earliest","1795-01-01"
"record/productionDates/0/date/latest","1804-12-31"
"record/productionDates/0/association/text","made"
"record/productionDates/0/association/id","x28654"
"record/productionDates/0/note",""
"record/creditLine","Given by Colonel T. G. Gayer-Anderson, CMG, DSO, and his twin brother Major R. G. Gayer- Anderson, Pasha."
"record/dimensions/0/dimension","Height"
"record/dimensions/0/value","502"
"record/dimensions/0/unit","mm"
"record/dimensions/0/qualifier","maximum; estimated behind mount"
"record/dimensions/0/date/text","08/05/2013"
"record/dimensions/0/date/earliest","2013-05-08"
"record/dimensions/0/date/latest","2013-05-08"
"record/dimensions/0/part",""
"record/dimensions/0/note",""
"record/dimensions/1/dimension","Width"
"record/dimensions/1/value","408"
"record/dimensions/1/unit","mm"
"record/dimensions/1/qualifier","maximum; estimated behind mount"
"record/dimensions/1/date/text","08/05/2013"
"record/dimensions/1/date/earliest","2013-05-08"
"record/dimensions/1/date/latest","2013-05-08"
"record/dimensions/1/part",""
"record/dimensions/1/note",""
"record/dimensionsNote","08/05/2013  dimensions measured as part of Indian Paintings Cataloguing Project 2013"
"record/objectHistory","From the Gayer-Anderson collection."
"record/historicalContext",""
"record/briefDescription","Brush drawing, gathering of nobles, scene from the <i>Mahabharata,</i> in ink on paper, Jaipur, ca. 1800"
"record/production",""
"record/productionType/text",""
"record/productionType/id",""
"record/contentDescription","A gathering of nobles with inserted scene from the <i>Mahabharata </i>- shooting the fish."
"record/contentOthers/0/text","rulers"
"record/contentOthers/0/id","AAT25475"
"record/contentOthers/1/text","princess"
"record/contentOthers/1/id","AAT155241"
"record/contentOthers/2/text","palace"
"record/contentOthers/2/id","AAT5734"
"record/contentOthers/3/text","competition"
"record/contentOthers/3/id","AAT54760"
"record/contentOthers/4/text","nobles"
"record/contentOthers/4/id","AAT236022"
"record/partNumbers/0","IS.527-1952"
"record/accessionNumberNum","527"
"record/accessionNumberPrefix","IS"
"record/accessionYear","1952"
"record/copyNumber",""
"record/aspects/0","WHOLE"
"record/recordModificationDate","2024-04-11"
"record/recordCreationDate","2009-06-25"
