"path","value"
"meta/version","2.0"
"meta/images/_primary_thumbnail","https://framemark.vam.ac.uk/collections/2013GB1423/full/!100,100/0/default.jpg"
"meta/images/_iiif_image","https://framemark.vam.ac.uk/collections/2013GB1423/"
"meta/images/imageResolution","high"
"meta/images/_images_meta/0/assetRef","2013GB1423"
"meta/images/_images_meta/0/copyright","© Victoria and Albert Museum, London"
"meta/images/_images_meta/0/sensitiveImage","false"
"meta/see_also/_iiif_pres","https://iiif.vam.ac.uk/collections/O433268/manifest.json"
"record/systemNumber","O433268"
"record/accessionNumber","IS.356-1952"
"record/objectType","Drawing"
"record/titles/0/title","Bhima "
"record/titles/0/type","generic title"
"record/summaryDescription",""
"record/physicalDescription","Brush drawing in ink on paper, depicting Bhima with his mace, sketch for an illustration to the <i>Mahabharata</i>."
"record/artistMakerPerson/0/name/text","Unknown"
"record/artistMakerPerson/0/name/id","A1848"
"record/artistMakerPerson/0/association/text",""
"record/artistMakerPerson/0/association/id",""
"record/artistMakerPerson/0/note",""
"record/materials/0/text","ink"
"record/materials/0/id","AAT15012"
"record/materials/1/text","paper"
"record/materials/1/id","x30308"
"record/techniques/0/text","drawn"
"record/techniques/0/id","x30545"
"record/techniques/1/text","painted"
"record/techniques/1/id","AAT54216"
"record/materialsAndTechniques","Drawn with brush in ink on paper"
"record/categories/0/text","Drawings"
"record/categories/0/id","THES48966"
"record/categories/1/text","Hinduism"
"record/categories/1/id","THES48941"
"record/categories/2/text","Paintings"
"record/categories/2/id","THES48917"
"record/categories/3/text","Religion"
"record/categories/3/id","THES48900"
"record/categories/4/text","Bonita Trust Indian Paintings Cataloguing Project"
"record/categories/4/id","THES263148"
"record/collectionCode/text","SSEA"
"record/collectionCode/id","THES48598"
"record/images/0","2013GB1423"
"record/imageResolution","high"
"record/galleryLocations/0/current/text","SRP (VA)"
"record/galleryLocations/0/current/id","THES49620"
"record/galleryLocations/0/free",""
"record/galleryLocations/0/case",""
"record/galleryLocations/0/shelf",""
"record/galleryLocations/0/box","84E"
"record/partTypes/0/0/text","Drawing"
"record/partTypes/0/0/id",""
"record/contentWarnings/0/apprise",""
"record/contentWarnings/0/note",""
"record/placesOfOrigin/0/place/text","Rajasthan"
"record/placesOfOrigin/0/place/id","x29841"
"record/placesOfOrigin/0/association/text","made"
"record/placesOfOrigin/0/association/id","x28654"
"record/placesOfOrigin/0/note",""
"record/placesOfOrigin/1/place/text","Jaipur"
"record/placesOfOrigin/1/place/id","x30863"
"record/placesOfOrigin/1/association/text","made"
"record/placesOfOrigin/1/association/id","x28654"
"record/placesOfOrigin/1/note","possibly"
"record/productionDates/0/date/text","ca. 1800"
"record/productionDates/0/date/earliest","1795-01-01"
"record/productionDates/0/date/latest","1804-12-31"
"record/productionDates/0/association/text","made"
"record/productionDates/0/association/id","x28654"
"record/productionDates/0/note",""
"record/creditLine","Given by Colonel T. G. Gayer-Anderson, CMG, DSO, and his twin brother Major R. G. Gayer- Anderson, Pasha"
"record/dimensions/0/dimension","Height"
"record/dimensions/0/value","180"
"record/dimensions/0/unit","mm"
"record/dimensions/0/qualifier",""
"record/dimensions/0/date/text","08/05/2013"
"record/dimensions/0/date/earliest","2013-05-08"
"record/dimensions/0/date/latest","2013-05-08"
"record/dimensions/0/part",""
"record/dimensions/0/note",""
"record/dimensions/1/dimension","Width"
"record/dimensions/1/value","124"
"record/dimensions/1/unit","mm"
"record/dimensions/1/qualifier",""
"record/dimensions/1/date/text","08/05/2013"
"record/dimensions/1/date/earliest","2013-05-08"
"record/dimensions/1/date/latest","2013-05-08"
"record/dimensions/1/part",""
"record/dimensions/1/note",""
"record/dimensionsNote","08/05/2013 dimensions measured as part of Indian Paintings Cataloguing Project 2013"
"record/objectHistory","From the Gayer-Anderson collection."
"record/historicalContext",""
"record/briefDescription","Brush drawing, Bhima with his mace, <i>Mahabharata,</i> illustration, ink on paper, Rajasthan, possibly Jaipur, ca. 1800"
"record/production",""
"record/productionType/text",""
"record/productionType/id",""
"record/contentDescription","Bhima with his mace."
"record/contentPerson/0/text","Bhima"
"record/contentPerson/0/id","AUTH325784"
"record/contentOthers/0/text","deity"
"record/contentOthers/0/id","x31373"
"record/contentOthers/1/text","mace"
"record/contentOthers/1/id","AAT37214"
"record/partNumbers/0","IS.356-1952"
"record/accessionNumberNum","356"
"record/accessionNumberPrefix","IS"
"record/accessionYear","1952"
"record/copyNumber",""
"record/aspects/0","WHOLE"
"record/recordModificationDate","2024-01-22"
"record/recordCreationDate","2009-06-25"
